condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,n_synth_accumulated,synthetic_label_error,agreement_rate
J_ensemble_naive_seed16,0,0.5543,0.6008547008547008,0.4446308724832215,,0.9480290578740608,0.4764539238218983,1.2617347332165965,0,0,,
J_ensemble_naive_seed16,1,0.521,0.5726495726495726,0.39932885906040266,2.139002062569701,0.5562530397357279,0.170129611715791,0.9509325102282012,5000,5000,0.4354,0.5045
J_ensemble_naive_seed16,2,0.5053,0.5582621082621083,0.38053691275167784,2.138871091975308,0.3936328773983008,0.11156451558851584,0.832590702056295,5000,10000,0.4706,0.721
J_ensemble_naive_seed16,3,0.4958,0.55,0.3681208053691275,2.1322438879440297,0.3067335257930942,0.08502418669748922,0.7489174399238587,5000,15000,0.5068,0.76435
J_ensemble_naive_seed16,4,0.489,0.5444444444444444,0.35838926174496644,2.13728310455473,0.2588663488112324,0.07509474324867892,0.700927286935194,5000,20000,0.5098,0.7927
J_ensemble_naive_seed16,5,0.4839,0.5394586894586895,0.3530201342281879,2.1354622865948105,0.2318982790081437,0.06810401111666094,0.6579260380576413,5000,25000,0.524,0.8159
J_ensemble_naive_seed16,6,0.4823,0.5373219373219373,0.35268456375838925,2.1253431502158477,0.2166157390893672,0.06926312978862385,0.6366895926794621,5000,30000,0.5032,0.8225
J_ensemble_naive_seed16,7,0.481,0.5368945868945869,0.3493288590604027,2.1165100217568575,0.19775418132571854,0.06387045825308443,0.6085230233871779,5000,35000,0.5282,0.8319
J_ensemble_naive_seed16,8,0.4787,0.5344729344729344,0.34731543624161076,2.1173244741875483,0.1827880150130862,0.05294179463726181,0.5783159920034244,5000,40000,0.524,0.8388
J_ensemble_naive_seed16,9,0.477,0.532051282051282,0.34731543624161076,2.11689496553719,0.17560252406720275,0.05364028307386076,0.5579734306690912,5000,45000,0.526,0.85015
J_ensemble_naive_seed16,10,0.4766,0.5317663817663818,0.3466442953020134,2.1204934646087765,0.1658852940323523,0.04855106942549482,0.5362346610038555,5000,50000,0.5296,0.84945
J_ensemble_naive_seed16,11,0.4757,0.5314814814814814,0.34429530201342284,2.123964719795245,0.16385974549197485,0.04911385229869242,0.526037545496227,5000,50000,0.5354,0.8521
J_ensemble_naive_seed16,12,0.4739,0.5296296296296297,0.34261744966442953,2.1097422939598136,0.15095451542668348,0.04532008947543691,0.5090898143076698,5000,50000,0.5556,0.85275
J_ensemble_naive_seed16,13,0.4735,0.5294871794871795,0.3416107382550336,2.117271629499878,0.15236469184721124,0.043738246745938625,0.4940768167198909,5000,50000,0.5244,0.857
J_ensemble_naive_seed16,14,0.4725,0.527920227920228,0.3419463087248322,2.1243823161793336,0.14867376485339792,0.045732626682504045,0.4854000807780348,5000,50000,0.5404,0.85895
J_ensemble_naive_seed16,15,0.4717,0.5277777777777778,0.3395973154362416,2.1172357593619555,0.14606896299545322,0.050675985868068554,0.4922902206354606,5000,50000,0.5366,0.8585
J_ensemble_naive_seed16,16,0.4698,0.5262108262108263,0.33691275167785234,2.1174899958750992,0.1429528034592591,0.04646051439804821,0.47858971683278617,5000,50000,0.5502,0.85925
J_ensemble_naive_seed16,17,0.47,0.5259259259259259,0.338255033557047,2.12201840711678,0.1362287586936809,0.04123412466094751,0.4651251620324153,5000,50000,0.5302,0.86125
J_ensemble_naive_seed16,18,0.4699,0.5250712250712251,0.33993288590604026,2.1001509938598444,0.13586189238643215,0.041366300810397535,0.45132180884304374,5000,50000,0.5406,0.85965
J_ensemble_naive_seed16,19,0.4681,0.523931623931624,0.3365771812080537,2.1149529047663314,0.13221491708373528,0.0427289351935722,0.4585199263550097,5000,50000,0.5478,0.8584
J_ensemble_naive_seed16,20,0.4675,0.5225071225071225,0.3379194630872483,2.1219947120628517,0.12955730520845476,0.040445294571078545,0.44754816442669604,5000,50000,0.5436,0.86355
