condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,synthetic_label_error
B_high_surprisal_weak_seed25,0,0.5625,0.6032763532763533,0.4664429530201342,,0.8567834645901004,0.3664911015650646,1.1978983532140843,0,
B_high_surprisal_weak_seed25,1,0.569,0.6150997150997151,0.4604026845637584,2.0229630596541224,0.5978370007538022,0.24846135929721758,0.9288695140784835,6000,0.5871666666666666
B_high_surprisal_weak_seed25,2,0.5805,0.6330484330484331,0.45671140939597316,2.1166747712565788,0.5842927756460695,0.24207156119845472,0.9162907318716551,6122,0.5377327670695851
B_high_surprisal_weak_seed25,3,0.5871,0.6364672364672365,0.4708053691275168,2.0839156833857615,0.5842927756460695,0.24494237702974156,0.9038682118731287,6125,0.544
B_high_surprisal_weak_seed25,4,0.5908,0.6376068376068376,0.48053691275167787,2.0992038924210443,0.5798184952511564,0.22627344432188354,0.8977143462987658,6130,0.5451876019575856
B_high_surprisal_weak_seed25,5,0.5851,0.6237891737891738,0.49395973154362416,2.0973398424665617,0.5798184952511564,0.24846135929721758,0.8977143462987658,6154,0.5300617484562886
B_high_surprisal_weak_seed25,6,0.5962,0.6407407407407407,0.4912751677852349,2.0842552839924426,0.5842927756460695,0.25489224962749973,0.8915981192813447,6080,0.5338815789473684
B_high_surprisal_weak_seed25,7,0.5878,0.6333333333333333,0.48053691275167787,2.0876862857272274,0.5709295478339264,0.24526135656655088,0.8794767587490292,6034,0.5389459728206828
B_high_surprisal_weak_seed25,8,0.581,0.6283475783475784,0.46946308724832214,2.0762400783552626,0.5621189181517869,0.2325627732294396,0.8734707346888317,6053,0.5283330579877746
B_high_surprisal_weak_seed25,9,0.583,0.6364672364672365,0.4570469798657718,2.0823203426322228,0.5709295478339264,0.2325627732294396,0.8734707346888317,6032,0.5180702917771883
B_high_surprisal_weak_seed25,10,0.587,0.6384615384615384,0.4657718120805369,2.1094167905730035,0.5665145296248172,0.22627344432188354,0.8794767587490292,6133,0.5185064405674221
B_high_surprisal_weak_seed25,11,0.5808,0.6257834757834758,0.4748322147651007,2.090072338593542,0.5577425435519956,0.23889190828107915,0.8675005677023422,6102,0.5221238938053098
B_high_surprisal_weak_seed25,12,0.5797,0.6326210826210826,0.45503355704697984,2.105487772700639,0.5621189181517869,0.22941316432654726,0.8794767587490292,6032,0.5477453580901857
B_high_surprisal_weak_seed25,13,0.5938,0.6433048433048433,0.4771812080536913,2.0625095599864425,0.5798184952511564,0.24526135656655088,0.892209741983089,6062,0.5372814252721874
B_high_surprisal_weak_seed25,14,0.5844,0.6306267806267807,0.475503355704698,2.1034176781888507,0.5753641449017841,0.22627344432188354,0.8855190732049772,6050,0.5317355371900826
B_high_surprisal_weak_seed25,15,0.5902,0.6447293447293447,0.46174496644295304,2.066619158632749,0.5753641449017841,0.23572233351980404,0.8915981192813447,6027,0.5311100049776007
B_high_surprisal_weak_seed25,16,0.5948,0.6497150997150997,0.46543624161073827,2.0720211565277413,0.5798184952511564,0.23572233351980404,0.8855190732049772,6022,0.5310528063766191
B_high_surprisal_weak_seed25,17,0.5865,0.6425925925925926,0.45436241610738254,2.074036202031169,0.5887871652339007,0.24526135656655088,0.8977143462987658,6089,0.524552471670225
B_high_surprisal_weak_seed25,18,0.5829,0.6344729344729345,0.46140939597315433,2.094743826952906,0.5842927756460695,0.22314355131295974,0.8855190732049772,6074,0.5294698715837998
B_high_surprisal_weak_seed25,19,0.5786,0.6333333333333333,0.44966442953020136,2.0883677281548234,0.5842927756460695,0.22941316432654726,0.8915981192813447,6064,0.524901055408971
B_high_surprisal_weak_seed25,20,0.5785,0.6311965811965812,0.45436241610738254,2.065582169598151,0.5753641449017841,0.23889190828107915,0.8855190732049772,6054,0.5376610505450942
