condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,synthetic_label_error
B_high_surprisal_weak_seed28,0,0.5625,0.6032763532763533,0.4664429530201342,,0.8567834645901005,0.3664911015650646,1.1978983532140843,0,
B_high_surprisal_weak_seed28,1,0.5707,0.6128205128205129,0.4714765100671141,2.018074658860694,0.5887871652339007,0.2325627732294396,0.9100601821210346,6000,0.575
B_high_surprisal_weak_seed28,2,0.5774,0.6217948717948718,0.4728187919463087,2.101632532635044,0.5798184952511564,0.22314355131295974,0.9162907318716551,6039,0.545785726113595
B_high_surprisal_weak_seed28,3,0.5773,0.6240740740740741,0.4671140939597315,2.060666247177816,0.5842927756460695,0.24207156119845472,0.8977143462987658,6118,0.5295848316443282
B_high_surprisal_weak_seed28,4,0.5814,0.6403133903133903,0.4426174496644295,2.101014293225251,0.5753641449017841,0.24207156119845472,0.8915981192813447,6041,0.506042046018871
B_high_surprisal_weak_seed28,5,0.5848,0.6344729344729345,0.4677852348993289,2.0827353071076633,0.5887871652339007,0.24207156119845472,0.9038682118731287,6067,0.5345310697214439
B_high_surprisal_weak_seed28,6,0.5849,0.6383190883190883,0.4590604026845638,2.0925074989556007,0.5709295478339264,0.22941316432654726,0.8915981192813447,6076,0.5319289005924951
B_high_surprisal_weak_seed28,7,0.5869,0.6304843304843305,0.4842281879194631,2.0783909985417433,0.5709295478339264,0.22941316432654726,0.8915981192813447,6109,0.5254542478310689
B_high_surprisal_weak_seed28,8,0.588,0.6370370370370371,0.47248322147651006,2.0817828100028657,0.5842927756460695,0.2325627732294396,0.8915981192813447,6101,0.5148336338305196
B_high_surprisal_weak_seed28,9,0.5893,0.6397435897435897,0.4704697986577181,2.078245997660292,0.5798184952511564,0.22941316432654726,0.8915981192813447,6056,0.5397952443857331
B_high_surprisal_weak_seed28,10,0.5906,0.6339031339031339,0.4885906040268456,2.0992816910708263,0.5798184952511564,0.25489224962749973,0.8855190732049772,6106,0.5239109073042909
B_high_surprisal_weak_seed28,11,0.5885,0.6354700854700854,0.4778523489932886,2.076809487876759,0.5709295478339264,0.23889190828107915,0.8800809901946262,6060,0.5242574257425743
B_high_surprisal_weak_seed28,12,0.5889,0.6370370370370371,0.475503355704698,2.099053969481121,0.5709295478339264,0.22941316432654726,0.8855190732049772,6031,0.5357320510694744
B_high_surprisal_weak_seed28,13,0.5811,0.6354700854700854,0.45302013422818793,2.055668019579901,0.5709295478339264,0.23572233351980404,0.8855190732049772,6148,0.5317176317501626
B_high_surprisal_weak_seed28,14,0.5874,0.6334757834757835,0.47885906040268456,2.109760934929537,0.5753641449017841,0.2325627732294396,0.8794767587490292,6044,0.5450033090668431
B_high_surprisal_weak_seed28,15,0.586,0.6314814814814815,0.47885906040268456,2.083756128656195,0.5665145296248172,0.24526135656655088,0.8855190732049772,6035,0.523943661971831
B_high_surprisal_weak_seed28,16,0.5824,0.6223646723646724,0.48825503355704697,2.1171466809902264,0.5621189181517869,0.2325627732294396,0.8794767587490292,6117,0.5255844368154324
B_high_surprisal_weak_seed28,17,0.5768,0.6225071225071225,0.4691275167785235,2.0696046350323583,0.5709295478339264,0.23572233351980404,0.8675005677023422,6001,0.5424095984002666
B_high_surprisal_weak_seed28,18,0.583,0.6326210826210826,0.46610738255033557,2.1210473563699366,0.5665145296248172,0.23889190828107915,0.8794767587490292,6018,0.5181123296776338
B_high_surprisal_weak_seed28,19,0.5892,0.64002849002849,0.46946308724832214,2.0690363574385118,0.5798184952511564,0.24526135656655088,0.8855190732049772,6027,0.5319396051103368
B_high_surprisal_weak_seed28,20,0.5843,0.6286324786324786,0.4798657718120805,2.1199332011117473,0.5798184952511564,0.24175359590671744,0.8800809901946262,6048,0.5256283068783069
