method_key,method_name,gen_start,gen_end,acc_all_mean_diff,acc_all_ci,acc_all_n_seeds,acc_head_mean_diff,acc_head_ci,acc_head_n_seeds,acc_tail_mean_diff,acc_tail_ci,acc_tail_n_seeds,synthetic_label_error_mean_diff,synthetic_label_error_ci,synthetic_label_error_n_seeds,diversity_entropy_mean_diff,diversity_entropy_ci,diversity_entropy_n_seeds
A_no_filter_weak,Naïve self-training,0,20,-0.03121935483870967,0.002643042414517569,31,-0.022828784119106743,0.0029982004808533818,31,-0.050985061701667035,0.0057129332051235465,31,,,0,,,0
B_high_surprisal_weak,High-surprisal filter,0,20,0.020719354838709673,0.0020950501506152262,31,0.03183071408877856,0.0026747218495376574,31,-0.005455726347694322,0.005382862200403362,31,,,0,,,0
C_goldilocks_weak,Goldilocks filter,0,20,-0.057951612903225806,0.0023646868510943074,31,-0.05925466409337381,0.003059302305843179,31,-0.054882009092877264,0.004893573106083613,31,,,0,,,0
I_diverse_ensemble_accumulate,$\mathbf{DEVS}$ (ensemble + accumulate),0,20,-0.04334193548387096,0.002641537821833651,31,-0.05272033820420918,0.0033603980822287426,31,-0.021249188135960176,0.0034196071529184356,31,,,0,,,0
K_diverse_ensemble_no_accumulate,$\mathbf{DEVS}$ (ensemble only),0,20,-0.005048387096774175,0.0014487516213674682,31,-0.00570719602977668,0.0015599062757301184,31,-0.0034964277982247253,0.003067964526738831,31,,,0,,,0
J_ensemble_naive,Ensemble self-training (no verification),0,20,-0.10078709677419355,0.0027235417014324546,31,-0.09571730539472476,0.003310620626423185,31,-0.11273002814462003,0.006384862536206812,31,,,0,,,0
