condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,n_synth_accumulated,synthetic_label_error,agreement_rate
K_diverse_ensemble_no_accumulate_seed6,0,0.5595,0.6098290598290599,0.44093959731543625,,0.9553687886512996,0.44365516809014915,1.270094863122389,0,0,,
K_diverse_ensemble_no_accumulate_seed6,1,0.5562,0.6072649572649572,0.43590604026845636,0.23070412927371386,0.9878930711741263,0.38038297830956724,1.2921247404211003,529,529,0.003780718336483932,0.5227
K_diverse_ensemble_no_accumulate_seed6,2,0.5559,0.6066951566951567,0.436241610738255,0.36460891499955406,0.9745602527841843,0.352386383943363,1.295062052177413,556,556,0.0035971223021582736,0.50565
K_diverse_ensemble_no_accumulate_seed6,3,0.5519,0.6059829059829059,0.42449664429530204,0.40974490978299555,0.9836572795324375,0.3159332596540668,1.2952751387983352,563,563,0.014209591474245116,0.4993
K_diverse_ensemble_no_accumulate_seed6,4,0.5587,0.6103988603988604,0.4369127516778524,0.5450958910520205,0.9739627789298764,0.3005449620655335,1.2980039572553415,596,596,0.013422818791946308,0.496
K_diverse_ensemble_no_accumulate_seed6,5,0.5559,0.6075498575498576,0.4342281879194631,0.6662459989671266,0.9841086261642127,0.29413145154728804,1.3004621469100528,638,638,0.03918495297805643,0.50005
K_diverse_ensemble_no_accumulate_seed6,6,0.5547,0.6061253561253561,0.43355704697986575,0.7300354832721274,0.9836066582696553,0.27316018891735355,1.30460112463394,664,664,0.043674698795180725,0.5102
K_diverse_ensemble_no_accumulate_seed6,7,0.5562,0.6081196581196581,0.43389261744966445,0.7684738309732195,0.982625002079607,0.2556981475083615,1.3029962493469498,684,684,0.054093567251461985,0.5066
K_diverse_ensemble_no_accumulate_seed6,8,0.5608,0.6106837606837607,0.44328859060402687,0.8352160709062206,0.985938874733973,0.2829997609014845,1.3099746843754323,728,728,0.07417582417582418,0.4998
K_diverse_ensemble_no_accumulate_seed6,9,0.5539,0.6059829059829059,0.4312080536912752,0.8054963518119126,0.9767285197681244,0.2680119643219654,1.3003477529964274,706,706,0.06232294617563739,0.5022
K_diverse_ensemble_no_accumulate_seed6,10,0.5583,0.6094017094017095,0.43791946308724833,0.8356963551374326,0.9752887300348337,0.24185534226455488,1.2956989844842286,731,731,0.07797537619699042,0.50255
K_diverse_ensemble_no_accumulate_seed6,11,0.5507,0.603988603988604,0.42516778523489934,0.8149934702025007,0.9768605279124483,0.24887380261915373,1.2964680617922653,720,720,0.07361111111111111,0.50455
K_diverse_ensemble_no_accumulate_seed6,12,0.5603,0.6125356125356125,0.437248322147651,0.809933573010662,0.9747901566051509,0.24111532506643873,1.2934977008794875,717,717,0.08507670850767085,0.51295
K_diverse_ensemble_no_accumulate_seed6,13,0.5542,0.6062678062678063,0.43154362416107384,0.8570423828137302,0.9770235879319014,0.2530371723641282,1.2930250481020702,753,753,0.099601593625498,0.50095
K_diverse_ensemble_no_accumulate_seed6,14,0.5532,0.601994301994302,0.438255033557047,0.8820683370796671,0.9822264586359132,0.24013404567867833,1.301892506204164,768,768,0.09375,0.50495
K_diverse_ensemble_no_accumulate_seed6,15,0.5525,0.6027065527065527,0.4342281879194631,0.8484136650795999,0.9824870929116323,0.23672443788360406,1.3090715252152356,749,749,0.09078771695594126,0.4982
K_diverse_ensemble_no_accumulate_seed6,16,0.5532,0.6038461538461538,0.43389261744966445,0.8779957867364651,0.9817928224077368,0.24150880512276413,1.3063940372019331,777,777,0.10682110682110682,0.49745
K_diverse_ensemble_no_accumulate_seed6,17,0.5534,0.6055555555555555,0.4305369127516778,0.8466581936907231,0.9920145377236158,0.26781453976734393,1.3100384767107858,742,742,0.07008086253369272,0.5096
K_diverse_ensemble_no_accumulate_seed6,18,0.5527,0.6041310541310542,0.43154362416107384,0.8369112853402426,0.9911744731370435,0.23323640804056592,1.3035223743068993,736,736,0.09918478260869565,0.4909
K_diverse_ensemble_no_accumulate_seed6,19,0.5519,0.6004273504273504,0.4375838926174497,0.8672173832050847,0.9868392291688834,0.2288295298083524,1.3065162872066152,764,764,0.08507853403141362,0.51015
K_diverse_ensemble_no_accumulate_seed6,20,0.5539,0.601994301994302,0.4406040268456376,0.8927741292498331,0.9911185969408791,0.247977933114568,1.3067932487083274,780,780,0.09871794871794871,0.503
