condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,n_synth_accumulated,synthetic_label_error,agreement_rate
I_diverse_ensemble_accumulate_seed6,0,0.5595,0.6098290598290599,0.44093959731543625,,0.9553687886512996,0.443655168090149,1.270094863122389,0,0,,
I_diverse_ensemble_accumulate_seed6,1,0.5562,0.6072649572649572,0.43590604026845636,0.23070412927371386,0.9878930711741263,0.38038297830956724,1.2921247404211003,529,529,0.003780718336483932,0.5227
I_diverse_ensemble_accumulate_seed6,2,0.5555,0.6065527065527065,0.43523489932885906,0.36460891499955406,0.9870508695224721,0.31083654142597544,1.3001307257427324,556,1085,0.0035971223021582736,0.50565
I_diverse_ensemble_accumulate_seed6,3,0.5519,0.6054131054131054,0.42583892617449665,0.4516343381656524,0.9956716919216304,0.261676238615167,1.3221466183862098,574,1659,0.013937282229965157,0.48695
I_diverse_ensemble_accumulate_seed6,4,0.5511,0.6042735042735042,0.42583892617449665,0.6199640244945573,0.9914224585068483,0.1907690157119745,1.3230206483252909,621,2280,0.020933977455716585,0.49235
I_diverse_ensemble_accumulate_seed6,5,0.5476,0.598005698005698,0.42885906040268457,0.7351806101120831,0.9779913155462083,0.12159177739031303,1.3052287788279238,670,2950,0.06417910447761194,0.48435
I_diverse_ensemble_accumulate_seed6,6,0.5456,0.5965811965811966,0.425503355704698,0.7912493307102135,0.9883295748507726,0.08575691174697196,1.3085203179915563,697,3647,0.0746054519368723,0.4794
I_diverse_ensemble_accumulate_seed6,7,0.5381,0.5915954415954416,0.4120805369127517,0.8495731615067463,0.9835922348639241,0.05564821198574307,1.3036029946915049,736,4383,0.09918478260869565,0.474
I_diverse_ensemble_accumulate_seed6,8,0.5375,0.5850427350427351,0.425503355704698,0.9076825988222164,0.9892313435424771,0.042587193594205465,1.2990608018352932,786,5169,0.14122137404580154,0.46535
I_diverse_ensemble_accumulate_seed6,9,0.5405,0.5867521367521368,0.43154362416107384,0.9088154351469849,0.9913879721016823,0.02880571294875946,1.3059522652620874,787,5956,0.12198221092757307,0.45535
I_diverse_ensemble_accumulate_seed6,10,0.5403,0.5864672364672364,0.43154362416107384,0.9575580709186404,0.9880191616186701,0.022938718874338012,1.3158248495386204,847,6803,0.15702479338842976,0.4517
I_diverse_ensemble_accumulate_seed6,11,0.5366,0.5817663817663817,0.4302013422818792,0.9382581821756191,0.9837856926659508,0.01834562635553693,1.308693206259366,827,7630,0.15719467956469166,0.4538
I_diverse_ensemble_accumulate_seed6,12,0.5288,0.5727920227920228,0.42516778523489934,0.9635461937787813,0.9806614604200833,0.014026720446139783,1.2930759727908117,852,8482,0.1772300469483568,0.4468
I_diverse_ensemble_accumulate_seed6,13,0.5294,0.5733618233618234,0.42583892617449665,0.9846815321809923,0.9867006527164464,0.012508836081462775,1.308043949209787,888,9370,0.20157657657657657,0.441
I_diverse_ensemble_accumulate_seed6,14,0.5258,0.56994301994302,0.42181208053691277,0.998349039534081,0.9906401561405482,0.012568599832224097,1.3115356460314285,906,10276,0.17770419426048564,0.43295
I_diverse_ensemble_accumulate_seed6,15,0.5229,0.5662393162393162,0.42080536912751676,0.9870519208313528,0.9715699175367072,0.01044625043161089,1.3067163234260026,888,11164,0.19481981981981983,0.4136
I_diverse_ensemble_accumulate_seed6,16,0.5208,0.5632478632478632,0.42080536912751676,0.9892891732611563,0.9978021026255226,0.010484244655040753,1.3229611493259925,892,12056,0.2040358744394619,0.40835
I_diverse_ensemble_accumulate_seed6,17,0.52,0.5618233618233618,0.4214765100671141,1.0017653468175312,0.9856674822906033,0.010338575169466235,1.3033615330554023,913,12969,0.20920043811610076,0.41025
I_diverse_ensemble_accumulate_seed6,18,0.5206,0.5648148148148148,0.41644295302013423,1.001483847643239,0.9830482765115798,0.008733586386075123,1.3091657714206133,912,13881,0.23026315789473684,0.4013
I_diverse_ensemble_accumulate_seed6,19,0.5194,0.5625356125356126,0.41778523489932884,0.9948880868164218,0.9855075782669703,0.010551346817022031,1.3120962970417844,900,14781,0.20777777777777778,0.41065
I_diverse_ensemble_accumulate_seed6,20,0.5143,0.5588319088319088,0.40939597315436244,1.0102988178560666,0.9944652553174895,0.00840723568240918,1.315417393094067,929,15710,0.20344456404736275,0.4003
