condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,synthetic_label_error
B_high_surprisal_weak_seed21,0,0.5625,0.6032763532763533,0.4664429530201342,,0.8567834645901005,0.3664911015650646,1.1978983532140843,0,
B_high_surprisal_weak_seed21,1,0.5768,0.6229344729344729,0.46812080536912754,2.0219934802291304,0.6115671935656792,0.24207156119845472,0.9416085398558809,6000,0.5811666666666667
B_high_surprisal_weak_seed21,2,0.5847,0.6277777777777778,0.48322147651006714,2.1048026361509247,0.5887871652339007,0.22627344432188354,0.9162907318716551,6084,0.5376397107166337
B_high_surprisal_weak_seed21,3,0.5924,0.6357549857549858,0.49026845637583893,2.085481728177169,0.5842927756460695,0.25167163492746175,0.8983297328562043,6074,0.5408297662166612
B_high_surprisal_weak_seed21,4,0.5953,0.639031339031339,0.49228187919463084,2.1042679363780112,0.5978370007538022,0.24526135656655088,0.9106832370960989,6008,0.525965379494008
B_high_surprisal_weak_seed21,5,0.5827,0.6223646723646724,0.489261744966443,2.090308737548241,0.5842927756460695,0.2325627732294396,0.9038682118731287,6113,0.5283821364305579
B_high_surprisal_weak_seed21,6,0.5895,0.6397435897435897,0.47114093959731546,2.0837891596648377,0.5933018455884193,0.23224781233915065,0.9038682118731287,6121,0.5275281816696619
B_high_surprisal_weak_seed21,7,0.5827,0.632051282051282,0.4664429530201342,2.0621451074452075,0.5798184952511564,0.23889190828107915,0.8915981192813447,6057,0.5326069011061582
B_high_surprisal_weak_seed21,8,0.5908,0.6366096866096866,0.48288590604026843,2.089188968141142,0.5887871652339007,0.25489224962749973,0.8855190732049772,6039,0.5318761384335154
B_high_surprisal_weak_seed21,9,0.5869,0.6343304843304843,0.47516778523489933,2.078229592687928,0.5798184952511564,0.24846135929721758,0.8915981192813447,6086,0.52464673020046
B_high_surprisal_weak_seed21,10,0.5909,0.6440170940170941,0.4657718120805369,2.0980872802032566,0.5731468463678553,0.22627344432188354,0.8977143462987658,6002,0.5303232255914695
B_high_surprisal_weak_seed21,11,0.586,0.6294871794871795,0.4835570469798658,2.087232279313977,0.5798184952511564,0.24207156119845472,0.8915981192813447,6109,0.5475527909641512
B_high_surprisal_weak_seed21,12,0.5833,0.6294871794871795,0.47449664429530203,2.086793933271839,0.5842927756460695,0.2325627732294396,0.9038682118731287,6005,0.5187343880099917
B_high_surprisal_weak_seed21,13,0.5839,0.6270655270655271,0.4822147651006711,2.1013008107234317,0.5753641449017841,0.24207156119845472,0.8855190732049772,6072,0.538866930171278
B_high_surprisal_weak_seed21,14,0.5922,0.6378917378917379,0.48456375838926175,2.0873777538575964,0.5842927756460695,0.22627344432188354,0.8977143462987658,6016,0.5209441489361702
B_high_surprisal_weak_seed21,15,0.5794,0.6243589743589744,0.473489932885906,2.1029781371502914,0.5842927756460695,0.25167163492746175,0.8977143462987658,6032,0.5348143236074271
B_high_surprisal_weak_seed21,16,0.5849,0.6247863247863248,0.49093959731543624,2.0947314360765943,0.5753641449017841,0.2325627732294396,0.8915981192813447,6042,0.5369083085071168
B_high_surprisal_weak_seed21,17,0.5803,0.6340455840455841,0.45369127516778524,2.088401605075813,0.5753641449017841,0.25167163492746175,0.8794767587490292,6098,0.5208265004919646
B_high_surprisal_weak_seed21,18,0.578,0.6253561253561254,0.4664429530201342,2.087551252773746,0.5798184952511564,0.23572233351980404,0.8794767587490292,6113,0.53836087027646
B_high_surprisal_weak_seed21,19,0.5763,0.6186609686609686,0.47651006711409394,2.0967979908813557,0.5621189181517869,0.23889190828107915,0.8794767587490292,6127,0.5273380120776889
B_high_surprisal_weak_seed21,20,0.5829,0.6259259259259259,0.4815436241610738,2.1028046913953933,0.5842927756460695,0.24846135929721758,0.8977143462987658,6022,0.5320491531052807
