condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,n_synth_accumulated,synthetic_label_error,agreement_rate
J_ensemble_naive_seed29,0,0.5545,0.595014245014245,0.4590604026845638,,0.944178721263804,0.46088709889948176,1.2790859396827374,0,0,,
J_ensemble_naive_seed29,1,0.5164,0.5542735042735043,0.42718120805369125,2.140439742091226,0.5552787812431266,0.16998909660171485,0.9662539266599743,5000,5000,0.449,0.5029
J_ensemble_naive_seed29,2,0.4976,0.5383190883190884,0.4016778523489933,2.116380447300673,0.398882685433549,0.10632761574823954,0.826771487148918,5000,10000,0.4858,0.7053
J_ensemble_naive_seed29,3,0.4869,0.5286324786324786,0.38859060402684564,2.11840990631624,0.3188478110169512,0.08457864249374532,0.749593951233752,5000,15000,0.4994,0.75505
J_ensemble_naive_seed29,4,0.4846,0.5262108262108263,0.3865771812080537,2.103784858942544,0.2597503366753445,0.07132709368801261,0.691409755846338,5000,20000,0.512,0.7855
J_ensemble_naive_seed29,5,0.4781,0.5203703703703704,0.3785234899328859,2.1063851935351923,0.23266770795235417,0.06596744492000774,0.650908411829544,5000,25000,0.5166,0.8054
J_ensemble_naive_seed29,6,0.4745,0.5165242165242165,0.375503355704698,2.095398919765095,0.20850556715484228,0.06495894698631902,0.6155691289994267,5000,30000,0.5152,0.809
J_ensemble_naive_seed29,7,0.4712,0.5135327635327636,0.3714765100671141,2.0984709620906385,0.18847491322588372,0.05743952633798059,0.5914665262253369,5000,35000,0.5252,0.82555
J_ensemble_naive_seed29,8,0.4711,0.512962962962963,0.3724832214765101,2.1006023308162614,0.18035640063138314,0.05246616197038882,0.5598153798610154,5000,40000,0.5236,0.8302
J_ensemble_naive_seed29,9,0.4699,0.5113960113960114,0.37214765100671143,2.1031867606024752,0.1710091687509032,0.05109146902421406,0.5444449901408196,5000,45000,0.5218,0.83775
J_ensemble_naive_seed29,10,0.4669,0.5086894586894587,0.36845637583892615,2.0903848230792317,0.16075775716443644,0.053239193247929535,0.5203544853522184,5000,50000,0.5362,0.8429
J_ensemble_naive_seed29,11,0.4658,0.5074074074074074,0.36778523489932885,2.1025008043876627,0.1548719516637181,0.054997759052484066,0.5084589914769863,5000,50000,0.5368,0.84705
J_ensemble_naive_seed29,12,0.4654,0.5074074074074074,0.36644295302013424,2.089166575432369,0.15316335071816767,0.05241994273425489,0.5002034100689802,5000,50000,0.543,0.85005
J_ensemble_naive_seed29,13,0.4646,0.5062678062678063,0.36644295302013424,2.1017107842620084,0.14918615241464003,0.04552973616626706,0.48245125330205146,5000,50000,0.5376,0.8507
J_ensemble_naive_seed29,14,0.4642,0.5071225071225072,0.36308724832214767,2.109548458966415,0.1446996143622672,0.048922457213935344,0.4709490382534589,5000,50000,0.542,0.85525
J_ensemble_naive_seed29,15,0.463,0.5064102564102564,0.36073825503355705,2.099225243957018,0.13832336290847874,0.044592476835762014,0.4721117734059365,5000,50000,0.5194,0.85535
J_ensemble_naive_seed29,16,0.4622,0.5064102564102564,0.3580536912751678,2.088659310744065,0.13620910387842056,0.04682039365795467,0.44382030008684925,5000,50000,0.5528,0.86325
J_ensemble_naive_seed29,17,0.462,0.5056980056980057,0.35906040268456374,2.103246531998249,0.13162743803012578,0.04183320570920836,0.43149385845113414,5000,50000,0.5388,0.86055
J_ensemble_naive_seed29,18,0.4606,0.5044159544159544,0.3573825503355705,2.0867587404791803,0.13477191928010002,0.0452145604598762,0.4382987364893727,5000,50000,0.561,0.8664
J_ensemble_naive_seed29,19,0.4609,0.5045584045584045,0.3580536912751678,2.0930863024890702,0.1299487373183549,0.044676431944181465,0.4215885154944721,5000,50000,0.5264,0.86615
J_ensemble_naive_seed29,20,0.4598,0.5038461538461538,0.3560402684563758,2.096547930517786,0.12818941586806076,0.04420498612688496,0.411770315757239,5000,50000,0.5324,0.8684
