condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,n_synth_accumulated,synthetic_label_error,agreement_rate
J_ensemble_naive_seed6,0,0.5595,0.6098290598290599,0.44093959731543625,,0.9553687886512996,0.44365516809014915,1.2700948631223887,0,0,,
J_ensemble_naive_seed6,1,0.5257,0.5733618233618234,0.4134228187919463,2.138807892452361,0.5653536200208611,0.18536923890799986,0.964219610690144,5000,5000,0.4284,0.5227
J_ensemble_naive_seed6,2,0.5044,0.55,0.3969798657718121,2.1101161127959176,0.4089701650126438,0.10965006219381858,0.8452916103527807,5000,10000,0.469,0.7142
J_ensemble_naive_seed6,3,0.4936,0.5405982905982906,0.38288590604026845,2.0845777163824866,0.3338872354357335,0.0906467324908748,0.771470549217688,5000,15000,0.4998,0.7582
J_ensemble_naive_seed6,4,0.4867,0.5333333333333333,0.3768456375838926,2.059006662374365,0.2834389137043765,0.07659964895692843,0.7210019467059753,5000,20000,0.5066,0.7948
J_ensemble_naive_seed6,5,0.4822,0.5283475783475784,0.37348993288590604,2.070963319394109,0.24429680912080762,0.06865052236495466,0.68684548347134,5000,25000,0.5096,0.8044
J_ensemble_naive_seed6,6,0.4784,0.5252136752136752,0.3681208053691275,2.073360048550194,0.22257072240164444,0.05578204060714921,0.6532260900552993,5000,30000,0.511,0.81875
J_ensemble_naive_seed6,7,0.4765,0.5225071225071225,0.3681208053691275,2.056798244818476,0.20403793398468917,0.05482363281461724,0.6247348743506722,5000,35000,0.5044,0.83565
J_ensemble_naive_seed6,8,0.4727,0.5190883190883191,0.3634228187919463,2.0652732478959797,0.19387413041524812,0.05327257215502679,0.6124835625595074,5000,40000,0.5118,0.83915
J_ensemble_naive_seed6,9,0.4709,0.517948717948718,0.36006711409395975,2.0585585257567325,0.18492225550874125,0.05369266028455708,0.5924659347823578,5000,45000,0.5192,0.8379
J_ensemble_naive_seed6,10,0.4691,0.5153846153846153,0.36006711409395975,2.044677645266415,0.171282760138181,0.04672896562549298,0.5740580291028924,5000,50000,0.5322,0.84175
J_ensemble_naive_seed6,11,0.469,0.5153846153846153,0.3597315436241611,2.058025550062679,0.16974053852905846,0.04729602705671716,0.5570865412446383,5000,50000,0.5316,0.8458
J_ensemble_naive_seed6,12,0.4664,0.5131054131054131,0.35637583892617447,2.057839495897101,0.16541458457154,0.04900821867930153,0.5546015262231886,5000,50000,0.5308,0.8517
J_ensemble_naive_seed6,13,0.4653,0.5123931623931623,0.35436241610738256,2.027023249818854,0.15704368525263884,0.04734387688430385,0.5256856858760967,5000,50000,0.5316,0.85875
J_ensemble_naive_seed6,14,0.4646,0.5108262108262108,0.35570469798657717,2.0626510115878305,0.16131939425790423,0.049252958830635796,0.5343897644500071,5000,50000,0.5276,0.85745
J_ensemble_naive_seed6,15,0.4651,0.5122507122507123,0.3540268456375839,2.0625611734800855,0.15704756753048507,0.05435367197158171,0.5054332117112667,5000,50000,0.532,0.85825
J_ensemble_naive_seed6,16,0.4622,0.5088319088319089,0.3523489932885906,2.0409822331034984,0.15476804789335746,0.05144441343642142,0.5063590805924036,5000,50000,0.5304,0.86105
J_ensemble_naive_seed6,17,0.4608,0.5075498575498576,0.35067114093959734,2.047494282270519,0.14654710076549987,0.04984502102201345,0.4920583022723341,5000,50000,0.531,0.8673
J_ensemble_naive_seed6,18,0.4596,0.5065527065527066,0.348993288590604,2.040921543460932,0.1403747405541944,0.048590178668814966,0.47288285043263234,5000,50000,0.5342,0.86725
J_ensemble_naive_seed6,19,0.459,0.5052706552706553,0.35,2.0342381023852756,0.1395961784058541,0.04731334129992908,0.4769911589239506,5000,50000,0.5514,0.86805
J_ensemble_naive_seed6,20,0.4586,0.5047008547008547,0.35,2.0421577767436667,0.1348931712014772,0.04137902569298882,0.47110856736009354,5000,50000,0.528,0.87365
