condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,synthetic_label_error
A_no_filter_weak_seed18,0,0.5625,0.6032763532763533,0.4664429530201342,,0.8567834645901004,0.3664911015650646,1.1978983532140843,0,
A_no_filter_weak_seed18,1,0.5755,0.6213675213675214,0.4674496644295302,2.1673278049406153,0.5025268209496427,0.1335313926233798,0.8794767587490292,20000,0.4304
A_no_filter_weak_seed18,2,0.5674,0.6172364672364672,0.45,2.161287327022547,0.4700036292441356,0.12499649017355216,0.8556661100553674,20000,0.4129
A_no_filter_weak_seed18,3,0.5682,0.617948717948718,0.45100671140939597,2.1604566880518714,0.446287102626857,0.12499649017355216,0.8381729526078909,20000,0.42215
A_no_filter_weak_seed18,4,0.5569,0.6018518518518519,0.45100671140939597,2.154556925911662,0.4269441397837561,0.10536051565671518,0.8158813882854615,20000,0.4266
A_no_filter_weak_seed18,5,0.5584,0.6085470085470085,0.44026845637583895,2.1556689588667703,0.4269441397837561,0.1025865887739931,0.8209805520675575,20000,0.42945
A_no_filter_weak_seed18,6,0.5558,0.603988603988604,0.44228187919463086,2.150528526322473,0.4193105149286966,0.10536051565671518,0.8209805520675575,20000,0.4339
A_no_filter_weak_seed18,7,0.5502,0.5965811965811966,0.44093959731543625,2.137807840068353,0.40796823832477913,0.09706171284202933,0.8209805520675575,20000,0.4433
A_no_filter_weak_seed18,8,0.5534,0.601994301994302,0.4389261744966443,2.132123032945536,0.40796823832477913,0.09982033528110595,0.8266785731821823,20000,0.4398
A_no_filter_weak_seed18,9,0.5537,0.6018518518518519,0.44026845637583895,2.140653219813463,0.40796823832477913,0.1025865887739931,0.815314814531893,20000,0.44215
A_no_filter_weak_seed18,10,0.5546,0.5995726495726496,0.44865771812080535,2.1372509124727146,0.40796823832477913,0.09706171284202933,0.8040787412649923,20000,0.43665
A_no_filter_weak_seed18,11,0.5523,0.6024216524216525,0.4342281879194631,2.1392934675695634,0.38934572622680513,0.09706171284202933,0.8096809968136497,20000,0.4418
A_no_filter_weak_seed18,12,0.5523,0.6055555555555555,0.4268456375838926,2.1364426917643202,0.38934572622680513,0.09431067947014242,0.8096809968136497,20000,0.44845
A_no_filter_weak_seed18,13,0.554,0.604985754985755,0.43389261744966445,2.140201361144081,0.3930425881081257,0.09982033528110595,0.815314814531893,20000,0.437
A_no_filter_weak_seed18,14,0.551,0.6001424501424502,0.43523489932885906,2.1396343384114007,0.3930425881081257,0.1025865887739931,0.8096809968136497,20000,0.45225
A_no_filter_weak_seed18,15,0.5482,0.5947293447293447,0.43859060402684563,2.14129496068266,0.37833644071845185,0.08610269905232185,0.7985076962155494,20000,0.44665
A_no_filter_weak_seed18,16,0.542,0.5878917378917379,0.43389261744966445,2.134278079206871,0.385662480810514,0.09431067947014242,0.7985076962155494,20000,0.44755
A_no_filter_weak_seed18,17,0.5423,0.5898860398860399,0.4302013422818792,2.1329482828687456,0.385662480810514,0.08338160893796408,0.7985076962155494,20000,0.46005
A_no_filter_weak_seed18,18,0.5458,0.5972934472934472,0.42449664429530204,2.1427233883430286,0.38199275192155707,0.09706171284202933,0.7929675158399463,20000,0.4564
A_no_filter_weak_seed18,19,0.5416,0.5931623931623932,0.42013422818791946,2.13882782977886,0.38199275192155707,0.08883121370552283,0.7985076962155494,20000,0.45415
A_no_filter_weak_seed18,20,0.5407,0.5914529914529915,0.4211409395973154,2.1368892848627445,0.38016459632000443,0.08610269905232185,0.7985076962155494,20000,0.44955
