condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,n_synth_accumulated,synthetic_label_error,agreement_rate
K_diverse_ensemble_no_accumulate_seed28,0,0.5624,0.6158119658119658,0.43657718120805367,,0.955588891036019,0.4764119239380954,1.2717768760018904,0,0,,
K_diverse_ensemble_no_accumulate_seed28,1,0.5605,0.6136752136752137,0.43523489932885906,0.15701295866435447,0.9604193409188109,0.44244023818701356,1.2700265351100393,519,519,0.0,0.49765
K_diverse_ensemble_no_accumulate_seed28,2,0.5586,0.6122507122507123,0.43221476510067114,0.2462410062264217,0.955357608049738,0.418749845840712,1.268151738284964,536,536,0.0037313432835820895,0.50265
K_diverse_ensemble_no_accumulate_seed28,3,0.5602,0.6115384615384616,0.43926174496644294,0.35371991364833755,0.9687669340063343,0.399864478094721,1.282375607959235,564,564,0.005319148936170213,0.5043
K_diverse_ensemble_no_accumulate_seed28,4,0.5639,0.6153846153846154,0.4426174496644295,0.3724807184501906,0.9640562632446403,0.38983381307654114,1.2809652892040155,570,570,0.005263157894736842,0.4959
K_diverse_ensemble_no_accumulate_seed28,5,0.5587,0.6078347578347578,0.4429530201342282,0.4246185671516982,0.9767305607333591,0.37151833952715124,1.2833895732582954,589,589,0.0050933786078098476,0.48785
K_diverse_ensemble_no_accumulate_seed28,6,0.5609,0.6108262108262108,0.44328859060402687,0.41959372010881424,0.9710784495946424,0.37564452678061866,1.2886231266802353,587,587,0.008517887563884156,0.4905
K_diverse_ensemble_no_accumulate_seed28,7,0.5595,0.6089743589743589,0.4429530201342282,0.4270938597099352,0.9694308622486782,0.3597400821847877,1.2899279096167786,590,590,0.00847457627118644,0.4909
K_diverse_ensemble_no_accumulate_seed28,8,0.5598,0.6061253561253561,0.4506711409395973,0.46570056288860234,0.9788825647065655,0.3579980320578342,1.292039877255899,607,607,0.016474464579901153,0.49615
K_diverse_ensemble_no_accumulate_seed28,9,0.5601,0.6094017094017095,0.44395973154362417,0.4875809576206676,0.9715179313414404,0.33678256855213484,1.2872745482073953,618,618,0.008090614886731391,0.4901
K_diverse_ensemble_no_accumulate_seed28,10,0.5581,0.60997150997151,0.43590604026845636,0.49861997838967054,0.9717697673609094,0.3514405576136608,1.2884173211691081,624,624,0.009615384615384616,0.4851
K_diverse_ensemble_no_accumulate_seed28,11,0.5601,0.6115384615384616,0.4389261744966443,0.4931753569261622,0.9791944129076278,0.34745600203876464,1.293452077696033,621,621,0.014492753623188406,0.4878
K_diverse_ensemble_no_accumulate_seed28,12,0.56,0.6105413105413106,0.44093959731543625,0.4698462342529339,0.9604191227837436,0.3594340055646986,1.2725764593145248,609,609,0.009852216748768473,0.4945
K_diverse_ensemble_no_accumulate_seed28,13,0.5608,0.6103988603988604,0.44395973154362417,0.5056549387706463,0.9499133745094347,0.34304244460552913,1.2768307939781036,628,628,0.025477707006369428,0.4775
K_diverse_ensemble_no_accumulate_seed28,14,0.5563,0.6071225071225071,0.43657718120805367,0.5299225915167041,0.9718024396948225,0.35996422170544057,1.2885897139528841,643,643,0.017107309486780714,0.49125
K_diverse_ensemble_no_accumulate_seed28,15,0.559,0.6065527065527065,0.4469798657718121,0.5358738996494877,0.9807131733269918,0.3790007785961138,1.293302195670797,647,647,0.01854714064914992,0.49175
K_diverse_ensemble_no_accumulate_seed28,16,0.5639,0.6163817663817663,0.44026845637583895,0.5268684682222307,0.9797976191394344,0.360455370512752,1.290192590516509,641,641,0.0249609984399376,0.48875
K_diverse_ensemble_no_accumulate_seed28,17,0.5587,0.6112535612535612,0.4348993288590604,0.5056549387706463,0.9652027010689345,0.32920562734709297,1.2825657030760784,628,628,0.03343949044585987,0.4871
K_diverse_ensemble_no_accumulate_seed28,18,0.5625,0.6116809116809117,0.44664429530201344,0.5299225915167041,0.9664385211697925,0.3371462616824905,1.2821679782041888,643,643,0.02332814930015552,0.48095
K_diverse_ensemble_no_accumulate_seed28,19,0.5627,0.6135327635327635,0.4429530201342282,0.5221861551879465,0.9750631724039401,0.35048225145866757,1.2882329938576327,638,638,0.029780564263322883,0.48605
K_diverse_ensemble_no_accumulate_seed28,20,0.5603,0.6129629629629629,0.436241610738255,0.5221861551879465,0.9708487340625642,0.36828415713995866,1.289856431523986,638,638,0.04231974921630094,0.4837
