condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,synthetic_label_error
A_no_filter_weak_seed30,0,0.5625,0.6032763532763533,0.4664429530201342,,0.8567834645901004,0.3664911015650646,1.1978983532140843,0,
A_no_filter_weak_seed30,1,0.5734,0.613960113960114,0.4778523489932886,2.1589120832821607,0.5066676136156673,0.1221676339730776,0.8855190732049772,20000,0.4346
A_no_filter_weak_seed30,2,0.5677,0.610968660968661,0.4657718120805369,2.1577472963995405,0.4740116506416679,0.11372876532722254,0.8556661100553674,20000,0.42645
A_no_filter_weak_seed30,3,0.5631,0.6032763532763533,0.4684563758389262,2.1557544486048994,0.4660116079746046,0.11934675763143951,0.8734707346888317,20000,0.43525
A_no_filter_weak_seed30,4,0.5642,0.6025641025641025,0.4738255033557047,2.152492350184798,0.43850496218481416,0.11093156070616436,0.8439700702922034,20000,0.4361
A_no_filter_weak_seed30,5,0.56,0.6004273504273504,0.46476510067114096,2.148878186400332,0.4307829160909158,0.1025865887739931,0.8381729526078909,20000,0.4358
A_no_filter_weak_seed30,6,0.5588,0.6011396011396012,0.4590604026845638,2.153445857284613,0.41551544396015067,0.1025865887739931,0.8266785731821823,20000,0.43065
A_no_filter_weak_seed30,7,0.5578,0.6007122507122508,0.45671140939597316,2.1470665806095757,0.4193105149286966,0.11372876532722254,0.8266785731821823,20000,0.44465
A_no_filter_weak_seed30,8,0.5562,0.5934472934472934,0.4684563758389262,2.1551984344533173,0.4212152791370275,0.1025865887739931,0.8381729526078909,20000,0.4427
A_no_filter_weak_seed30,9,0.5523,0.5908831908831909,0.46140939597315433,2.1510906500564326,0.40796823832477913,0.09431067947014242,0.810244378585476,20000,0.45055
A_no_filter_weak_seed30,10,0.5506,0.5888888888888889,0.4604026845637584,2.154297015794785,0.41551544396015067,0.09982033528110595,0.8324092478911541,20000,0.44215
A_no_filter_weak_seed30,11,0.5543,0.587037037037037,0.4771812080536913,2.1625885371688782,0.4193105149286966,0.09982033528110595,0.8272516406530815,20000,0.44525
A_no_filter_weak_seed30,12,0.5482,0.5881766381766381,0.4540268456375839,2.1562406183525504,0.3930425881081257,0.09982033528110595,0.7990648007204957,20000,0.45135
A_no_filter_weak_seed30,13,0.5454,0.5897435897435898,0.44093959731543625,2.154643458013422,0.38934572622680513,0.09706171284202933,0.8209805520675575,20000,0.4491
A_no_filter_weak_seed30,14,0.5431,0.5901709401709402,0.43221476510067114,2.1543245910401856,0.3930425881081257,0.09706171284202933,0.8096809968136497,20000,0.44845
A_no_filter_weak_seed30,15,0.5363,0.5803418803418804,0.4325503355704698,2.1511919879872834,0.39675316750465595,0.09431067947014242,0.8266785731821823,20000,0.45805
A_no_filter_weak_seed30,16,0.5465,0.5934472934472934,0.43590604026845636,2.1421093691525055,0.4004775665956327,0.09706171284202933,0.8324092478911541,20000,0.46365
A_no_filter_weak_seed30,17,0.5444,0.582905982905983,0.45369127516778524,2.14020013403306,0.39675316750465595,0.08883121370552283,0.8266785731821823,20000,0.45785
A_no_filter_weak_seed30,18,0.5466,0.5853276353276353,0.45536912751677855,2.144844249561982,0.3930425881081257,0.09156719352439464,0.8324092478911541,20000,0.4593
A_no_filter_weak_seed30,19,0.5416,0.5806267806267806,0.44966442953020136,2.150437176106569,0.385662480810514,0.08883121370552283,0.8040787412649923,20000,0.4624
A_no_filter_weak_seed30,20,0.544,0.5836182336182336,0.4506711409395973,2.1502756299646424,0.385662480810514,0.08338160893796408,0.8209805520675575,20000,0.46415
