condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,synthetic_label_error
A_no_filter_weak_seed25,0,0.5625,0.6032763532763533,0.4664429530201342,,0.8567834645901004,0.3664911015650646,1.1978983532140843,0,
A_no_filter_weak_seed25,1,0.5688,0.6123931623931624,0.46610738255033557,2.162215449236251,0.5066676136156673,0.12783337150874854,0.8915981192813447,20000,0.43125
A_no_filter_weak_seed25,2,0.5642,0.6051282051282051,0.4677852348993289,2.1554485868283035,0.4700036292441356,0.11093156070616436,0.8734707346888317,20000,0.421
A_no_filter_weak_seed25,3,0.5621,0.6025641025641025,0.4667785234899329,2.1498319148335767,0.4541302800878706,0.11372876532722254,0.8556661100553674,20000,0.4274
A_no_filter_weak_seed25,4,0.5594,0.6022792022792023,0.45838926174496647,2.148234054704903,0.44238846221120587,0.09982033528110595,0.8439700702922034,20000,0.43385
A_no_filter_weak_seed25,5,0.5598,0.6058404558404559,0.4513422818791946,2.1556807335513,0.4231200433453584,0.10814215861858897,0.8266785731821823,20000,0.43815
A_no_filter_weak_seed25,6,0.5504,0.5958689458689459,0.44328859060402687,2.1501518270114595,0.4117347211202504,0.1025865887739931,0.8439700702922034,20000,0.4428
A_no_filter_weak_seed25,7,0.5528,0.5975783475783476,0.44731543624161074,2.144843781987834,0.4004775665956327,0.09982033528110595,0.8209805520675575,20000,0.4511
A_no_filter_weak_seed25,8,0.5464,0.5918803418803419,0.43926174496644294,2.1422525054954376,0.40421588870623437,0.09431067947014242,0.815314814531893,20000,0.44825
A_no_filter_weak_seed25,9,0.5393,0.5857549857549857,0.4298657718120805,2.1469166793462584,0.38934572622680513,0.09706171284202933,0.7985076962155494,20000,0.4519
A_no_filter_weak_seed25,10,0.5401,0.5847578347578347,0.4348993288590604,2.1430843766335195,0.39675316750465595,0.09706171284202933,0.8040787412649923,20000,0.4533
A_no_filter_weak_seed25,11,0.5424,0.5894586894586895,0.43154362416107384,2.147203935247911,0.385662480810514,0.1025865887739931,0.7874578600289889,20000,0.45555
A_no_filter_weak_seed25,12,0.5424,0.5938746438746438,0.4211409395973154,2.136774436155896,0.38934572622680513,0.09431067947014242,0.7929675158399463,20000,0.4611
A_no_filter_weak_seed25,13,0.5451,0.596011396011396,0.42516778523489934,2.140018199751971,0.38934572622680513,0.09156719352439464,0.8096809968136497,20000,0.4521
A_no_filter_weak_seed25,14,0.5433,0.5945868945868946,0.4224832214765101,2.146631217650129,0.3930425881081257,0.08610269905232185,0.7929675158399463,20000,0.4487
A_no_filter_weak_seed25,15,0.5372,0.5873219373219373,0.4191275167785235,2.148510775902003,0.3911941571674654,0.08610269905232185,0.8040787412649923,20000,0.4542
A_no_filter_weak_seed25,16,0.5347,0.5834757834757834,0.4197986577181208,2.143266428069899,0.3930425881081257,0.08883121370552283,0.8209805520675575,20000,0.45465
A_no_filter_weak_seed25,17,0.5328,0.5792022792022792,0.42348993288590603,2.152974009710751,0.385662480810514,0.08883121370552283,0.7929675158399463,20000,0.45895
A_no_filter_weak_seed25,18,0.5307,0.573076923076923,0.43087248322147653,2.1444801580242685,0.38199275192155707,0.08066790306637082,0.8096809968136497,20000,0.45725
A_no_filter_weak_seed25,19,0.5332,0.5769230769230769,0.4302013422818792,2.149396859899744,0.37833644071845185,0.09706171284202933,0.8040787412649923,20000,0.46095
A_no_filter_weak_seed25,20,0.5321,0.58005698005698,0.4191275167785235,2.1422265983566358,0.3746934494399562,0.08883121370552283,0.7929675158399463,20000,0.4631
