condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,synthetic_label_error
A_no_filter_weak_seed20,0,0.5625,0.6032763532763533,0.4664429530201342,,0.8567834645901004,0.3664911015650646,1.1978983532140843,0,
A_no_filter_weak_seed20,1,0.5719,0.6199430199430199,0.4587248322147651,2.1661753798417522,0.5025268209496427,0.1335313926233798,0.8855190732049772,20000,0.4278
A_no_filter_weak_seed20,2,0.5692,0.6129629629629629,0.46610738255033557,2.1580008209307504,0.4660116079746046,0.12783337150874854,0.8615658321825417,20000,0.41895
A_no_filter_weak_seed20,3,0.5545,0.5964387464387464,0.4557046979865772,2.157967430090283,0.4541302800878706,0.11653381625482795,0.8556661100553674,20000,0.4195
A_no_filter_weak_seed20,4,0.5573,0.6015669515669516,0.45302013422818793,2.151169038333995,0.446287102626857,0.11653381625482795,0.8439700702922034,20000,0.42685
A_no_filter_weak_seed20,5,0.5589,0.6032763532763533,0.45436241610738254,2.1471237555165787,0.4307829160909158,0.11372876532722254,0.8266785731821823,20000,0.43315
A_no_filter_weak_seed20,6,0.5532,0.598005698005698,0.4476510067114094,2.1476843302751036,0.4307829160909158,0.10536051565671518,0.8381729526078909,20000,0.43515
A_no_filter_weak_seed20,7,0.5489,0.5982905982905983,0.4325503355704698,2.151589022681952,0.4269441397837561,0.09156719352439464,0.8439700702922034,20000,0.4361
A_no_filter_weak_seed20,8,0.5426,0.5911680911680912,0.42818791946308726,2.1422629225637735,0.4004775665956327,0.09129359554250771,0.8209805520675575,20000,0.44455
A_no_filter_weak_seed20,9,0.5385,0.5901709401709402,0.4167785234899329,2.1455153058219096,0.4004775665956327,0.08883121370552283,0.8096809968136497,20000,0.45075
A_no_filter_weak_seed20,10,0.5368,0.5893162393162393,0.41308724832214766,2.1352143718290644,0.41551544396015067,0.09982033528110595,0.8266785731821823,20000,0.4524
A_no_filter_weak_seed20,11,0.5383,0.5881766381766381,0.42080536912751676,2.1336224407743454,0.40796823832477913,0.09706171284202933,0.8096809968136497,20000,0.45685
A_no_filter_weak_seed20,12,0.5406,0.5890313390313391,0.42651006711409395,2.140165858327731,0.39675316750465595,0.09982033528110595,0.7985076962155494,20000,0.448
A_no_filter_weak_seed20,13,0.5371,0.586039886039886,0.42181208053691277,2.145063641618914,0.38199275192155707,0.09706171284202933,0.7929675158399463,20000,0.4649
A_no_filter_weak_seed20,14,0.5364,0.5843304843304843,0.42348993288590603,2.1456074519811796,0.38934572622680513,0.09156719352439464,0.8096809968136497,20000,0.45025
A_no_filter_weak_seed20,15,0.5302,0.5789173789173789,0.4154362416107383,2.1446222887087516,0.385662480810514,0.08883121370552283,0.7935215338775086,20000,0.46645
A_no_filter_weak_seed20,16,0.5314,0.5826210826210826,0.41073825503355704,2.1406097254254846,0.37833644071845185,0.08610269905232185,0.7874578600289889,20000,0.46745
A_no_filter_weak_seed20,17,0.5289,0.5824786324786325,0.40268456375838924,2.140702020369333,0.3638434334159062,0.08610269905232185,0.7880088256100867,20000,0.4585
A_no_filter_weak_seed20,18,0.5245,0.5780626780626781,0.3983221476510067,2.142796066065243,0.37106368138938284,0.09156719352439464,0.7929675158399463,20000,0.4775
A_no_filter_weak_seed20,19,0.5207,0.5732193732193732,0.3969798657718121,2.139016513688994,0.38199275192155707,0.09156719352439464,0.7929675158399463,20000,0.47015
A_no_filter_weak_seed20,20,0.5138,0.5686609686609687,0.38456375838926177,2.144601582520179,0.3566749439373039,0.08338160893796408,0.7874578600289889,20000,0.4729
