condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,n_synth_accumulated,synthetic_label_error,agreement_rate
I_diverse_ensemble_accumulate_seed21,0,0.541,0.5998575498575499,0.4023489932885906,,0.9636491713084827,0.44929024139267826,1.2698200962179416,0,0,,
I_diverse_ensemble_accumulate_seed21,1,0.5427,0.6058404558404559,0.3939597315436242,0.025989873529936855,0.9710679922359685,0.41842477632851094,1.2737145102514587,502,502,0.0,0.50835
I_diverse_ensemble_accumulate_seed21,2,0.5329,0.5938746438746438,0.38926174496644295,0.08099408233133512,0.968724166007968,0.3828840943101499,1.2799917379923749,508,1010,0.001968503937007874,0.502
I_diverse_ensemble_accumulate_seed21,3,0.5384,0.5965811965811966,0.40134228187919463,0.12500370937201827,0.9604476798969457,0.34718691002303304,1.2715460192560335,514,1524,0.011673151750972763,0.5032
I_diverse_ensemble_accumulate_seed21,4,0.5331,0.5904558404558404,0.39798657718120806,0.1689189085396822,0.9707774065623465,0.29913634078412893,1.2883248383896162,521,2045,0.01727447216890595,0.50505
I_diverse_ensemble_accumulate_seed21,5,0.5329,0.5928774928774929,0.39161073825503356,0.2552705986714972,0.9738156835355529,0.26307830048982894,1.2903750035932469,538,2583,0.02973977695167286,0.4992
I_diverse_ensemble_accumulate_seed21,6,0.5264,0.5834757834757834,0.3919463087248322,0.33366049674707404,0.9812281091823356,0.22754933304640504,1.3009118428534214,558,3141,0.026881720430107527,0.4977
I_diverse_ensemble_accumulate_seed21,7,0.5238,0.5801994301994302,0.39093959731543626,0.35371991364833755,0.9742529867726875,0.17923227243229936,1.2931323112816593,564,3705,0.0425531914893617,0.4831
I_diverse_ensemble_accumulate_seed21,8,0.5241,0.5777777777777777,0.3976510067114094,0.33366049674707404,0.9664709796757466,0.11363946800136612,1.2848258998539637,558,4263,0.06989247311827956,0.4795
I_diverse_ensemble_accumulate_seed21,9,0.5144,0.5690883190883191,0.3855704697986577,0.4118656055763397,0.9719781126255973,0.09817331394173513,1.2937367103248003,584,4847,0.0821917808219178,0.4755
I_diverse_ensemble_accumulate_seed21,10,0.5204,0.5753561253561253,0.39093959731543626,0.3984519947454503,0.9648712860132956,0.06860830148774799,1.2901788616849978,579,5426,0.11053540587219343,0.4754
I_diverse_ensemble_accumulate_seed21,11,0.5086,0.561965811965812,0.38288590604026845,0.4065820843501172,0.9513065193491133,0.050320224995520205,1.2843096650562629,582,6008,0.1134020618556701,0.47245
I_diverse_ensemble_accumulate_seed21,12,0.5127,0.5655270655270656,0.388255033557047,0.41704348123218404,0.9637221747682025,0.03635739416139606,1.2865573614197847,586,6594,0.13139931740614336,0.47435
I_diverse_ensemble_accumulate_seed21,13,0.5071,0.5591168091168092,0.38456375838926177,0.35371991364833755,0.9487157860291138,0.030102795853552355,1.2782674829229692,564,7158,0.1400709219858156,0.45375
I_diverse_ensemble_accumulate_seed21,14,0.5042,0.5558404558404558,0.3825503355704698,0.4319718404569929,0.9672321027337731,0.024338976376047032,1.288004003029742,592,7750,0.1570945945945946,0.45615
I_diverse_ensemble_accumulate_seed21,15,0.5077,0.5562678062678063,0.3932885906040268,0.41446756344733904,0.9596862644182951,0.023376642701620567,1.2928575958962978,585,8335,0.1641025641025641,0.4527
I_diverse_ensemble_accumulate_seed21,16,0.5013,0.5485754985754986,0.38993288590604025,0.4065820843501172,0.9659500125736065,0.019201893338867952,1.3042869381679605,582,8917,0.15979381443298968,0.4506
I_diverse_ensemble_accumulate_seed21,17,0.4961,0.5455840455840456,0.3795302013422819,0.43437517121436175,0.9506834907492994,0.01741991098895114,1.2906133747883075,593,9510,0.16694772344013492,0.44595
I_diverse_ensemble_accumulate_seed21,18,0.4922,0.5400284900284901,0.3795302013422819,0.46570056288860234,0.9669293636430747,0.017185029102563823,1.2867371409229775,607,10117,0.15485996705107083,0.44645
I_diverse_ensemble_accumulate_seed21,19,0.4916,0.5397435897435897,0.3781879194630873,0.41959372010881424,0.9533385879956313,0.01512710024640411,1.291772521040424,587,10704,0.17546848381601363,0.448
I_diverse_ensemble_accumulate_seed21,20,0.4873,0.5366096866096867,0.3711409395973154,0.4221186334660521,0.9603492731442559,0.012713193264926845,1.2902462344287051,588,11292,0.18027210884353742,0.43725
