condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,n_synth_accumulated,synthetic_label_error,agreement_rate
K_diverse_ensemble_no_accumulate_seed20,0,0.5635,0.6096866096866097,0.4546979865771812,,0.95654326488974,0.4349418607696658,1.270888809449632,0,0,,
K_diverse_ensemble_no_accumulate_seed20,1,0.5568,0.6021367521367521,0.45,0.055546075266891794,0.9629483963217784,0.3629862461408904,1.2830388675707267,505,505,0.0,0.50005
K_diverse_ensemble_no_accumulate_seed20,2,0.5582,0.6032763532763533,0.4520134228187919,0.13169155653041767,0.9600823373523675,0.3287900705175868,1.2756124026948157,515,515,0.013592233009708738,0.49745
K_diverse_ensemble_no_accumulate_seed20,3,0.5519,0.5985754985754985,0.4419463087248322,0.20213101420689034,0.9608884409767138,0.3255370141922798,1.2760090535553337,527,527,0.024667931688804556,0.49955
K_diverse_ensemble_no_accumulate_seed20,4,0.5588,0.603988603988604,0.45234899328859063,0.2930027576458155,0.9646378979479566,0.3115199640421654,1.2777592946788268,547,547,0.03473491773308958,0.5
K_diverse_ensemble_no_accumulate_seed20,5,0.5604,0.6038461538461538,0.45805369127516776,0.36636336737571623,0.9652219838047214,0.27943598020497074,1.2919994652357,568,568,0.04929577464788732,0.49985
K_diverse_ensemble_no_accumulate_seed20,6,0.5552,0.6005698005698006,0.4483221476510067,0.4818316271982258,0.9582257951651671,0.27019534539992696,1.2754270743488993,615,615,0.04715447154471545,0.49765
K_diverse_ensemble_no_accumulate_seed20,7,0.5564,0.5972934472934472,0.46006711409395973,0.4739154508933843,0.9704433001524249,0.2851129874059656,1.285201790048106,611,611,0.07201309328968904,0.4855
K_diverse_ensemble_no_accumulate_seed20,8,0.558,0.6032763532763533,0.4513422818791946,0.4894627122765091,0.9686637524182364,0.2563678955839713,1.2862586731319865,619,619,0.0888529886914378,0.48535
K_diverse_ensemble_no_accumulate_seed20,9,0.5582,0.6005698005698006,0.45838926174496647,0.4759219511440737,0.9557951611330817,0.2408054910564043,1.2741507637429224,612,612,0.07026143790849673,0.48965
K_diverse_ensemble_no_accumulate_seed20,10,0.5585,0.601994301994302,0.45604026845637585,0.495006625424393,0.9700897073392718,0.2340716413371744,1.2837368261838977,622,622,0.06752411575562701,0.48995
K_diverse_ensemble_no_accumulate_seed20,11,0.5543,0.5958689458689459,0.4563758389261745,0.5237605953516506,0.964292690491767,0.24623794747193348,1.2859363816506801,639,639,0.10015649452269171,0.4879
K_diverse_ensemble_no_accumulate_seed20,12,0.5603,0.603988603988604,0.45738255033557046,0.5090792991132267,0.9589137105685497,0.23998526595142416,1.278451293036766,630,630,0.10317460317460317,0.4912
K_diverse_ensemble_no_accumulate_seed20,13,0.5581,0.6004273504273504,0.45838926174496647,0.5073747394110771,0.9712697732256139,0.2559087434230105,1.2791479708736295,629,629,0.10015898251192369,0.4819
K_diverse_ensemble_no_accumulate_seed20,14,0.5535,0.5977207977207977,0.4493288590604027,0.5299225915167041,0.9706160512046853,0.2536522527423768,1.2923036207347023,643,643,0.09797822706065319,0.49015
K_diverse_ensemble_no_accumulate_seed20,15,0.5551,0.5962962962962963,0.45805369127516776,0.5090792991132267,0.9587038342386393,0.2540289514668991,1.2883508828602361,630,630,0.09206349206349207,0.4917
K_diverse_ensemble_no_accumulate_seed20,16,0.5526,0.5945868945868946,0.45369127516778524,0.5416228456318389,0.969220268559364,0.2397079515556203,1.28825765964562,651,651,0.0967741935483871,0.48985
K_diverse_ensemble_no_accumulate_seed20,17,0.5553,0.5985754985754985,0.4533557046979866,0.5268684682222307,0.9661409535994387,0.2514885997037431,1.277595252793287,641,641,0.1029641185647426,0.49155
K_diverse_ensemble_no_accumulate_seed20,18,0.5524,0.5935897435897436,0.45536912751677855,0.5430293956980734,0.9605211004240044,0.23543276231263469,1.2841729938747088,652,652,0.10429447852760736,0.48625
K_diverse_ensemble_no_accumulate_seed20,19,0.5519,0.5925925925925926,0.45604026845637585,0.5430293956980734,0.9575635597764949,0.21964988626822052,1.2759615670250724,652,652,0.10429447852760736,0.48905
K_diverse_ensemble_no_accumulate_seed20,20,0.5523,0.5941595441595442,0.45369127516778524,0.5373297924487548,0.9552434851512759,0.24159945683329243,1.2832599232940087,648,648,0.0941358024691358,0.47685
