condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,synthetic_label_error
C_goldilocks_weak_seed12,0,0.5625,0.6032763532763533,0.4664429530201342,,0.8567834645901004,0.3664911015650646,1.1978983532140843,0,
C_goldilocks_weak_seed12,1,0.5708,0.6146723646723646,0.4674496644295302,2.1220652650498146,0.4700036292441356,0.15958206982329215,0.8675005677023422,12000,0.463
C_goldilocks_weak_seed12,2,0.5647,0.6094017094017095,0.4593959731543624,2.1294601980705656,0.43850496218481416,0.13639262490440865,0.8498009906029831,12016,0.45239680426098533
C_goldilocks_weak_seed12,3,0.5515,0.5972934472934472,0.4436241610738255,2.1339908882487006,0.4117347211202504,0.11625331116206766,0.8439700702922034,12089,0.4450326743320374
C_goldilocks_weak_seed12,4,0.5454,0.597008547008547,0.4238255033557047,2.10578202820064,0.41551544396015067,0.12499649017355216,0.8381729526078909,12013,0.4509281611587447
C_goldilocks_weak_seed12,5,0.5424,0.5925925925925926,0.42416107382550333,2.128134696630668,0.40421588870623437,0.11372876532722254,0.815314814531893,12015,0.4507698709945901
C_goldilocks_weak_seed12,6,0.5422,0.5894586894586895,0.43087248322147653,2.1076950119505677,0.3746934494399562,0.10814215861858897,0.7985076962155494,12022,0.4693062718349692
C_goldilocks_weak_seed12,7,0.5365,0.5827635327635328,0.42751677852348996,2.112726555480235,0.3674470409191995,0.09982033528110595,0.7985076962155494,12125,0.4699381443298969
C_goldilocks_weak_seed12,8,0.5247,0.5737891737891738,0.4090604026845638,2.1144500948740172,0.3602527652851827,0.10536051565671518,0.7985076962155494,12070,0.48053024026512015
C_goldilocks_weak_seed12,9,0.527,0.5769230769230769,0.40939597315436244,2.105262312184642,0.3566749439373039,0.09982033528110595,0.7874578600289889,12122,0.47343672661277014
C_goldilocks_weak_seed12,10,0.5185,0.5669515669515669,0.40436241610738255,2.1076820150523186,0.3424903089453676,0.09706171284202933,0.7819783942643752,12077,0.4880351080566366
C_goldilocks_weak_seed12,11,0.5153,0.5623931623931624,0.40436241610738255,2.10808677228013,0.3285040669706472,0.08610269905232185,0.7819783942643752,12118,0.48423832315563625
C_goldilocks_weak_seed12,12,0.5158,0.5679487179487179,0.39295302013422817,2.1004234941291533,0.34955747616845007,0.09431067947014242,0.8040787412649923,12039,0.4902400531605615
C_goldilocks_weak_seed12,13,0.5177,0.5695156695156696,0.39563758389261744,2.106895526538449,0.3424903089453676,0.09156719352439464,0.7929675158399463,12139,0.5048191778564955
C_goldilocks_weak_seed12,14,0.5134,0.561965811965812,0.398993288590604,2.1050862796276832,0.3250378589941657,0.08610269905232185,0.7985076962155494,12059,0.4970561406418443
C_goldilocks_weak_seed12,15,0.5104,0.5585470085470086,0.3969798657718121,2.1146100494151017,0.3285040669706472,0.08338160893796408,0.7929675158399463,12063,0.4986321810494902
C_goldilocks_weak_seed12,16,0.5084,0.5564102564102564,0.3953020134228188,2.0983744302314666,0.3285040669706472,0.09431067947014242,0.7819783942643752,12016,0.512233688415446
C_goldilocks_weak_seed12,17,0.5042,0.5482905982905983,0.4003355704697987,2.1169401909650416,0.31471074483833045,0.07796154146863075,0.7765287894968225,12069,0.49283287762034966
C_goldilocks_weak_seed12,18,0.5066,0.5482905982905983,0.4083892617449664,2.10153753233314,0.3044891907668062,0.08066790306637082,0.7657178733926302,12072,0.5117627567925779
C_goldilocks_weak_seed12,19,0.5032,0.5431623931623931,0.4090604026845638,2.0976971399000983,0.3011050927825703,0.08066790306637082,0.7550225842759052,12074,0.504886533046215
C_goldilocks_weak_seed12,20,0.5021,0.5427350427350427,0.4063758389261745,2.1060456147368662,0.3011050927825703,0.07796154146863075,0.7765287894968225,12062,0.5096998839330128
