condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,n_synth_accumulated,synthetic_label_error,agreement_rate
I_diverse_ensemble_accumulate_seed13,0,0.5566,0.6163817663817663,0.41577181208053693,,0.9455381137470431,0.46818593330219077,1.2652754533663142,0,0,,
I_diverse_ensemble_accumulate_seed13,1,0.5585,0.6150997150997151,0.42516778523489934,0.08887420435378436,0.9620351942531994,0.4274074872843712,1.2792065356539932,509,509,0.0,0.5022
I_diverse_ensemble_accumulate_seed13,2,0.5532,0.6126780626780627,0.41308724832214766,0.19683246901013113,0.9842796004318997,0.42170702461353127,1.2985473035191823,526,1035,0.0,0.5054
I_diverse_ensemble_accumulate_seed13,3,0.5501,0.6065527065527065,0.41711409395973154,0.2552705986714972,0.9816721204322808,0.3961579669370477,1.3056984837986196,538,1573,0.00929368029739777,0.5
I_diverse_ensemble_accumulate_seed13,4,0.5481,0.6052706552706553,0.4134228187919463,0.2930027576458155,0.9799063828097992,0.3429293269684419,1.2928351899797708,547,2120,0.005484460694698354,0.49285
I_diverse_ensemble_accumulate_seed13,5,0.5428,0.5995726495726496,0.4090604026845638,0.3008065584136936,0.9707777378009287,0.2764620756218331,1.289563666360229,549,2669,0.020036429872495445,0.48915
I_diverse_ensemble_accumulate_seed13,6,0.5427,0.5984330484330485,0.41140939597315435,0.29692912319660925,0.9613917021393499,0.22096181212679397,1.2918078467777119,548,3217,0.040145985401459854,0.4828
I_diverse_ensemble_accumulate_seed13,7,0.5401,0.5965811965811966,0.4070469798657718,0.31949467280021765,0.9713824925854739,0.15996895739722292,1.2896704540971926,554,3771,0.04151624548736462,0.4761
I_diverse_ensemble_accumulate_seed13,8,0.5383,0.5907407407407408,0.4147651006711409,0.3814134856221141,0.959966051049528,0.10861571371031077,1.2904247983615122,573,4344,0.06457242582897033,0.47825
I_diverse_ensemble_accumulate_seed13,9,0.532,0.5801994301994302,0.4184563758389262,0.31949467280021765,0.9614633073731391,0.08711358555691208,1.294251653708131,554,4898,0.0812274368231047,0.4563
I_diverse_ensemble_accumulate_seed13,10,0.5289,0.5762108262108262,0.4174496644295302,0.3601112828216071,0.9634428013942402,0.0693128826332742,1.301116557387991,566,5464,0.06890459363957598,0.4696
I_diverse_ensemble_accumulate_seed13,11,0.5229,0.5705128205128205,0.41073825503355704,0.3956857411740383,0.9849452919175503,0.04886800267057568,1.3009898772478266,578,6042,0.07785467128027682,0.4627
I_diverse_ensemble_accumulate_seed13,12,0.5208,0.564957264957265,0.4167785234899329,0.3694386098215071,0.9753003225766786,0.03879720677437367,1.2984231854797645,569,6611,0.11247803163444639,0.4629
I_diverse_ensemble_accumulate_seed13,13,0.5184,0.5642450142450143,0.4104026845637584,0.4246185671516982,0.9792917134330485,0.03199520427339433,1.3049701070971893,589,7200,0.10696095076400679,0.4552
I_diverse_ensemble_accumulate_seed13,14,0.5189,0.5650997150997151,0.41006711409395974,0.3872123751843606,0.9709792787725213,0.025176301332174047,1.2938129409999122,575,7775,0.10260869565217391,0.46135
I_diverse_ensemble_accumulate_seed13,15,0.5146,0.5605413105413105,0.4063758389261745,0.4319718404569929,0.9689242727037586,0.023185015137542092,1.2992407791220235,592,8367,0.12837837837837837,0.4601
I_diverse_ensemble_accumulate_seed13,16,0.5117,0.5531339031339031,0.4140939597315436,0.37846764560812685,0.9669771516570318,0.01672940063758165,1.3092673804975503,572,8939,0.1486013986013986,0.4515
I_diverse_ensemble_accumulate_seed13,17,0.5088,0.5504273504273505,0.41073825503355704,0.4092372383927232,0.9707665217166278,0.016412642540138918,1.297992998221397,583,9522,0.16638078902229847,0.449
I_diverse_ensemble_accumulate_seed13,18,0.5086,0.5504273504273505,0.41006711409395974,0.4092372383927232,0.9735837448070537,0.015645281672036476,1.2951620921828644,583,10105,0.1269296740994854,0.442
I_diverse_ensemble_accumulate_seed13,19,0.5056,0.548005698005698,0.40570469798657716,0.4437579607508633,0.9872739040142844,0.012669559492481669,1.32019311608079,597,10702,0.1624790619765494,0.4471
I_diverse_ensemble_accumulate_seed13,20,0.5063,0.5504273504273505,0.4023489932885906,0.38432823585031134,0.9719776176443067,0.014529457204109225,1.305740796988208,574,11276,0.17073170731707318,0.4472
