condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,n_synth_accumulated,synthetic_label_error,agreement_rate
I_diverse_ensemble_accumulate_seed0,0,0.5513,0.600997150997151,0.4342281879194631,,0.9460442425417321,0.4470879132859933,1.2417398737943681,0,0,,
I_diverse_ensemble_accumulate_seed0,1,0.5517,0.6012820512820513,0.4348993288590604,0.04029127631499811,0.9504557833501915,0.4287994820950018,1.2569938343662739,503,503,0.0,0.5229
I_diverse_ensemble_accumulate_seed0,2,0.5496,0.5994301994301995,0.43221476510067114,0.15748644227304254,0.97290302472835,0.40060329832562247,1.2693570749653975,516,1019,0.009689922480620155,0.51605
I_diverse_ensemble_accumulate_seed0,3,0.5507,0.6008547008547008,0.4325503355704698,0.22976638441365888,0.9793159197513519,0.39150762829478786,1.2755138956451249,526,1545,0.013307984790874524,0.5096
I_diverse_ensemble_accumulate_seed0,4,0.5434,0.5898860398860399,0.43389261744966445,0.3369824873697409,0.9764277838869325,0.3362301857498125,1.2812108120657808,544,2089,0.01838235294117647,0.49875
I_diverse_ensemble_accumulate_seed0,5,0.5444,0.5908831908831909,0.4348993288590604,0.46701141972551424,0.9795634758523095,0.3088296202204571,1.2779093995121968,573,2662,0.02268760907504363,0.49145
I_diverse_ensemble_accumulate_seed0,6,0.5412,0.5887464387464387,0.4291946308724832,0.4580792473314406,0.986814198086747,0.2630766849962594,1.288904587180209,571,3233,0.03502626970227671,0.4898
I_diverse_ensemble_accumulate_seed0,7,0.5411,0.5883190883190883,0.4298657718120805,0.5678756077933245,0.968763106777752,0.22121807196772228,1.2835427209599888,601,3834,0.04991680532445923,0.4873
I_diverse_ensemble_accumulate_seed0,8,0.5379,0.5863247863247864,0.4238255033557047,0.6112354221076846,0.9820858478663548,0.16839053153591807,1.2927590725502578,617,4451,0.0713128038897893,0.47955
I_diverse_ensemble_accumulate_seed0,9,0.5363,0.5834757834757834,0.42516778523489934,0.576638656811243,0.9750222726155002,0.11616699431217585,1.275150973415293,604,5055,0.08278145695364239,0.466
I_diverse_ensemble_accumulate_seed0,10,0.5347,0.5811965811965812,0.42516778523489934,0.6303018984178381,0.9724987336416981,0.07538131244248308,1.285626598990763,622,5677,0.09003215434083602,0.4658
I_diverse_ensemble_accumulate_seed0,11,0.5315,0.5762108262108262,0.4261744966442953,0.6560376574265063,0.9776228059269609,0.06014752663092584,1.2899636193619775,632,6309,0.125,0.4557
I_diverse_ensemble_accumulate_seed0,12,0.5327,0.5813390313390313,0.4181208053691275,0.6282263658934515,0.9715222292215355,0.04372750793979364,1.2801353168184002,621,6930,0.1320450885668277,0.4472
I_diverse_ensemble_accumulate_seed0,13,0.5313,0.5772079772079772,0.4231543624161074,0.6835702995032416,0.9614067858669135,0.036595123569567484,1.2767838359245798,645,7575,0.14263565891472868,0.4553
I_diverse_ensemble_accumulate_seed0,14,0.529,0.5723646723646724,0.4268456375838926,0.6390254595789084,0.9692405176603418,0.028041827191571684,1.2887811272270484,625,8200,0.1488,0.45405
I_diverse_ensemble_accumulate_seed0,15,0.5299,0.5762108262108262,0.42080536912751676,0.7050192086178533,0.9651229363611302,0.024627651239988824,1.2792089189108902,653,8853,0.14854517611026033,0.4431
I_diverse_ensemble_accumulate_seed0,16,0.5243,0.566096866096866,0.42583892617449665,0.7141182308446246,0.9681573473310562,0.02076446825408528,1.2910724669518492,657,9510,0.15220700152207,0.44105
I_diverse_ensemble_accumulate_seed0,17,0.5235,0.566096866096866,0.4231543624161074,0.7046165343151021,0.9544550538458,0.020264747153466357,1.2789334537693131,653,10163,0.15160796324655437,0.4327
I_diverse_ensemble_accumulate_seed0,18,0.5236,0.5666666666666667,0.4221476510067114,0.7650876059384641,0.9699012760805903,0.01877489283343997,1.2870832724675025,682,10845,0.17888563049853373,0.43935
I_diverse_ensemble_accumulate_seed0,19,0.5197,0.5635327635327635,0.41644295302013423,0.741831368628683,0.9666694887656111,0.015090983939446977,1.281506371326493,670,11515,0.16567164179104477,0.4391
I_diverse_ensemble_accumulate_seed0,20,0.5192,0.5603988603988604,0.4221476510067114,0.7222906162318131,0.9675316910748006,0.01633342591442385,1.2841200056926545,661,12176,0.16187594553706505,0.4333
