method_key,method_name,generation_final,acc_all_mean,acc_all_se,acc_all_ci95,acc_head_mean,acc_head_se,acc_head_ci95,acc_tail_mean,acc_tail_se,acc_tail_ci95,synthetic_label_error_mean,synthetic_label_error_se,synthetic_label_error_ci95,diversity_entropy_mean,diversity_entropy_se,diversity_entropy_ci95,n_synth_filtered_mean,n_synth_filtered_se,n_synth_filtered_ci95,median_surprisal_test_mean,median_surprisal_test_se,median_surprisal_test_ci95,p10_surprisal_test_mean,p10_surprisal_test_se,p10_surprisal_test_ci95,p90_surprisal_test_mean,p90_surprisal_test_se,p90_surprisal_test_ci95
A_no_filter_weak,Naïve self-training,20,0.5312806451612901,0.0012941673900378542,0.00264304241451757,0.5804475691572465,0.001468070761862708,0.0029982004808533818,0.41545789131846717,0.002797341357416262,0.0057129332051235465,0.4646370967741935,0.001258119794760179,0.0025694234035660794,2.1418590750072513,0.0010156495395379737,0.002074233079853438,20000.0,0.0,0.0,0.3783177770121097,0.0016352087336162305,0.0033395417569676545,0.08680453648071698,0.0006930997020075636,0.0014154984308806426,0.8043229417851543,0.002065437831452085,0.004218186793377151
B_high_surprisal_weak,High-surprisal filter,20,0.5832193548387097,0.0010258426314036348,0.0020950501506152262,0.6351070673651319,0.001309679245433222,0.0026747218495376574,0.46098722667243996,0.0026357218811794937,0.005382862200403363,0.5304511436878983,0.0016822119271145157,0.0034355350844074,2.0848664673838626,0.003520059345599988,0.007188920246064614,6051.870967741936,6.174477808312348,12.60996595995954,0.5759700743281567,0.0014662416865768085,0.0029944650107764877,0.23768569588764468,0.001461681913667988,0.0029851527121578154,0.885006306084814,0.001515026836181339,0.0030940975780903556
C_goldilocks_weak,Goldilocks filter,20,0.5045483870967742,0.001157870412343021,0.002364686851094308,0.5440216891829796,0.0014979893091169076,0.00305930230584318,0.411560943927257,0.0023961411666621464,0.004893573106083614,0.5124549700012426,0.001150027779391842,0.0023486700578332345,2.110626375008919,0.002823503878955336,0.005766364202250185,12094.0,6.7554836347803375,13.796538156305651,0.31094254467336707,0.001545242119247671,0.003155805418456071,0.08110397998667308,0.0007125215786923435,0.0014551631946836479,0.7808261165451413,0.0017437943232864034,0.003561303115902277
I_diverse_ensemble_accumulate,$\mathbf{DEVS}$ (ensemble + accumulate),20,0.5143935483870968,0.0017799295351756971,0.003635101063846391,0.5546778788714274,0.0022141335273670585,0.0045218639175148454,0.4194955618099155,0.0034523274542983093,0.0070505932700460055,0.18726234331359798,0.007151996922633211,0.014606326322645018,0.5632813861336894,0.03226583034160928,0.06589561658635737,659.0967741935484,15.684754246789188,32.03254158207142,0.9724553960872317,0.003278540734518921,0.006695673438969619,0.013003406705104272,0.0004089546634326469,0.0008351968450044375,1.2991426696758337,0.003024949071423539,0.006177770170282298
K_diverse_ensemble_no_accumulate,$\mathbf{DEVS}$ (ensemble only),20,0.5526870967741935,0.001292008038986641,0.002638632431342192,0.6016910210458597,0.0017362480247422839,0.0035458915182385955,0.4372483221476509,0.003528769537025699,0.007206708830102454,0.030134527452328745,0.0040282015910519855,0.00822668515783429,0.389998338956278,0.02860720527908701,0.058423707393234756,581.9677419354839,9.448727953410716,19.296876846334264,0.9676718741673617,0.002595325169954375,0.005300361109743148,0.3447984998372797,0.0070555526733613,0.014409360888788345,1.2886049650514697,0.0024952744822768764,0.005096030346065395
J_ensemble_naive,Ensemble self-training (no verification),20,0.45694838709677416,0.0015548596795087947,0.003175447096874181,0.5116809116809117,0.0019639174894205175,0.0040108545950918,0.3280147218012556,0.0038774852185591217,0.007918881261578477,0.5413935483870967,0.00203828905419971,0.004162741593372367,2.1026168827435354,0.0041524322989444935,0.008480398110789964,5000.0,0.0,0.0,0.13288375985900486,0.002084884002941199,0.004257901173789878,0.04161200305758312,0.0009051638523552432,0.001848591204104633,0.4466764592936373,0.005827494088765619,0.011901330666744302
