condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,synthetic_label_error
A_no_filter_weak_seed23,0,0.5625,0.6032763532763533,0.4664429530201342,,0.8567834645901004,0.3664911015650646,1.1978983532140843,0,
A_no_filter_weak_seed23,1,0.5751,0.6183760683760684,0.47315436241610737,2.1638435635249396,0.5025268209496427,0.1221676339730776,0.8855190732049772,20000,0.43385
A_no_filter_weak_seed23,2,0.5728,0.6203703703703703,0.46073825503355703,2.1578697679055603,0.4660116079746046,0.11093156070616436,0.8675005677023422,20000,0.4147
A_no_filter_weak_seed23,3,0.5729,0.6190883190883191,0.4640939597315436,2.153759471601355,0.446287102626857,0.11653381625482795,0.8556661100553674,20000,0.42775
A_no_filter_weak_seed23,4,0.5634,0.6098290598290599,0.4540268456375839,2.155198858391071,0.4307829160909158,0.09982033528110595,0.8498009906029831,20000,0.4334
A_no_filter_weak_seed23,5,0.5582,0.6081196581196581,0.4406040268456376,2.1552337221860065,0.4346364854068999,0.09954447303719854,0.8381729526078909,20000,0.4384
A_no_filter_weak_seed23,6,0.5498,0.597008547008547,0.43859060402684563,2.147817488509496,0.4117347211202504,0.09982033528110595,0.8381729526078909,20000,0.44045
A_no_filter_weak_seed23,7,0.5513,0.5997150997150997,0.437248322147651,2.1464366761894285,0.41551544396015067,0.09431067947014242,0.8381729526078909,20000,0.445
A_no_filter_weak_seed23,8,0.5504,0.6,0.43355704697986575,2.1401621877486945,0.40796823832477913,0.09431067947014242,0.8324092478911541,20000,0.45545
A_no_filter_weak_seed23,9,0.5452,0.5995726495726496,0.41711409395973154,2.140919668432377,0.40421588870623437,0.10536051565671518,0.8096809968136497,20000,0.4505
A_no_filter_weak_seed23,10,0.5432,0.5998575498575499,0.4097315436241611,2.142320889592308,0.38934572622680513,0.09431067947014242,0.815314814531893,20000,0.45235
A_no_filter_weak_seed23,11,0.549,0.6056980056980057,0.4154362416107383,2.1360621942859255,0.40796823832477913,0.10536051565671518,0.8209805520675575,20000,0.45765
A_no_filter_weak_seed23,12,0.5458,0.5982905982905983,0.4221476510067114,2.131005837813291,0.3911941571674654,0.09156719352439464,0.8209805520675575,20000,0.45735
A_no_filter_weak_seed23,13,0.5453,0.5944444444444444,0.42953020134228187,2.1426466946454537,0.4004775665956327,0.09156719352439464,0.821550354179022,20000,0.45725
A_no_filter_weak_seed23,14,0.5395,0.5894586894586895,0.42181208053691277,2.1369108722321304,0.4004775665956327,0.08610269905232185,0.8266785731821823,20000,0.45675
A_no_filter_weak_seed23,15,0.5405,0.5901709401709402,0.42348993288590603,2.139990678177599,0.4004775665956327,0.09431067947014242,0.8209805520675575,20000,0.46085
A_no_filter_weak_seed23,16,0.5342,0.5810541310541311,0.4238255033557047,2.1376890442237997,0.37106368138938284,0.08039726690659707,0.8040787412649923,20000,0.46035
A_no_filter_weak_seed23,17,0.5341,0.5801994301994302,0.425503355704698,2.1342470382802436,0.3930425881081257,0.08610269905232185,0.815314814531893,20000,0.4617
A_no_filter_weak_seed23,18,0.5371,0.582905982905983,0.4291946308724832,2.1340099924464724,0.37106368138938284,0.08066790306637082,0.8040787412649923,20000,0.47025
A_no_filter_weak_seed23,19,0.5333,0.5764957264957264,0.43154362416107384,2.144917070061757,0.3602527652851827,0.08338160893796408,0.8040787412649923,20000,0.4652
A_no_filter_weak_seed23,20,0.5346,0.5811965811965812,0.4248322147651007,2.134803156900431,0.3746934494399562,0.08583059004088632,0.7985076962155494,20000,0.46995
